tag	i	q	k	actual
gamma	0	0.000005	0.020	1
gamma	1	0.000015	0.060	1
gamma	2	0.000025	0.100	1
gamma	3	0.000035	0.140	1
gamma	4	0.000045	0.180	1
gamma	5	0.000055	0.220	1
gamma	6	0.000065	0.260	1
gamma	7	0.000075	0.300	1
gamma	8	0.000085	0.340	1
gamma	9	0.000095	0.380	1
gamma	10	0.000105	0.420	1
gamma	11	0.000115	0.460	1
gamma	12	0.000125	0.500	1
gamma	13	0.000135	0.540	1
gamma	14	0.000145	0.580	1
gamma	15	0.000155	0.620	1
gamma	16	0.000165	0.660	1
gamma	17	0.000175	0.700	1
gamma	18	0.000185	0.740	1
gamma	19	0.000195	0.780	1
gamma	20	0.000205	0.820	1
gamma	21	0.000215	0.860	1
gamma	22	0.000225	0.900	1
gamma	23	0.000235	0.940	1
gamma	24	0.000245	0.980	1
gamma	25	0.000255	1.020	1
gamma	26	0.000265	1.060	1
gamma	27	0.000275	1.100	1
gamma	28	0.000285	1.140	1
gamma	29	0.000295	1.180	1
gamma	30	0.000305	1.220	1
gamma	31	0.000315	1.260	1
gamma	32	0.000325	1.300	1
gamma	33	0.000335	1.340	1
gamma	34	0.000345	1.380	1
gamma	35	0.000355	1.419	1
gamma	36	0.000365	1.459	1
gamma	37	0.000375	1.499	1
gamma	38	0.000385	1.539	1
gamma	39	0.000395	1.579	1
gamma	40	0.000405	1.619	1
gamma	41	0.000415	1.659	1
gamma	42	0.000425	1.699	1
gamma	43	0.000435	1.739	1
gamma	44	0.000445	1.779	1
gamma	45	0.000455	1.819	1
gamma	46	0.000465	1.859	1
gamma	47	0.000475	1.899	1
gamma	48	0.000485	1.939	1
gamma	49	0.000495	1.979	1
gamma	50	0.000505	2.019	1
gamma	51	0.000515	2.059	1
gamma	52	0.000525	2.099	1
gamma	53	0.000535	2.139	1
gamma	54	0.000545	2.179	1
gamma	55	0.000555	2.219	1
gamma	56	0.000565	2.259	1
gamma	57	0.000575	2.299	1
gamma	58	0.000585	2.339	1
gamma	59	0.000595	2.379	1
gamma	60	0.000605	2.419	1
gamma	61	0.000615	2.458	1
gamma	62	0.000625	2.498	1
gamma	63	0.000640	2.558	2
gamma	64	0.000655	2.618	1
gamma	65	0.000670	2.678	2
gamma	66	0.000690	2.758	2
gamma	67	0.000710	2.838	2
gamma	68	0.000725	2.898	1
gamma	69	0.000735	2.938	1
gamma	70	0.000750	2.998	2
gamma	71	0.000770	3.078	2
gamma	72	0.000790	3.158	2
gamma	73	0.000810	3.237	2
gamma	74	0.000825	3.297	1
gamma	75	0.000840	3.357	2
gamma	76	0.000860	3.437	2
gamma	77	0.000875	3.497	1
gamma	78	0.000895	3.577	3
gamma	79	0.000915	3.657	1
gamma	80	0.000930	3.717	2
gamma	81	0.000955	3.816	3
gamma	82	0.000980	3.916	2
gamma	83	0.001000	3.996	2
gamma	84	0.001015	4.056	1
gamma	85	0.001040	4.156	4
gamma	86	0.001065	4.255	1
gamma	87	0.001090	4.355	4
gamma	88	0.001125	4.495	3
gamma	89	0.001155	4.615	3
gamma	90	0.001180	4.714	2
gamma	91	0.001205	4.814	3
gamma	92	0.001230	4.914	2
gamma	93	0.001255	5.014	3
gamma	94	0.001280	5.113	2
gamma	95	0.001300	5.193	2
gamma	96	0.001330	5.313	4
gamma	97	0.001375	5.492	5
gamma	98	0.001405	5.612	1
gamma	99	0.001425	5.692	3
gamma	100	0.001460	5.831	4
gamma	101	0.001500	5.991	4
gamma	102	0.001535	6.131	3
gamma	103	0.001560	6.230	2
gamma	104	0.001575	6.290	1
gamma	105	0.001600	6.390	4
gamma	106	0.001645	6.569	5
gamma	107	0.001685	6.729	3
gamma	108	0.001725	6.888	5
gamma	109	0.001755	7.008	1
gamma	110	0.001790	7.147	6
gamma	111	0.001830	7.307	2
gamma	112	0.001860	7.426	4
gamma	113	0.001895	7.566	3
gamma	114	0.001935	7.725	5
gamma	115	0.001980	7.904	4
gamma	116	0.002020	8.064	4
gamma	117	0.002055	8.203	3
gamma	118	0.002100	8.382	6
gamma	119	0.002150	8.582	4
gamma	120	0.002185	8.721	3
gamma	121	0.002210	8.820	2
gamma	122	0.002235	8.920	3
gamma	123	0.002260	9.020	2
gamma	124	0.002295	9.159	5
gamma	125	0.002335	9.318	3
gamma	126	0.002370	9.458	4
gamma	127	0.002425	9.676	7
gamma	128	0.002470	9.856	2
gamma	129	0.002525	10.074	9
gamma	130	0.002585	10.313	3
gamma	131	0.002630	10.492	6
gamma	132	0.002680	10.691	4
gamma	133	0.002730	10.890	6
gamma	134	0.002790	11.129	6
gamma	135	0.002855	11.387	7
gamma	136	0.002935	11.706	9
gamma	137	0.002995	11.944	3
gamma	138	0.003035	12.103	5
gamma	139	0.003100	12.362	8
gamma	140	0.003190	12.719	10
gamma	141	0.003290	13.117	10
gamma	142	0.003370	13.435	6
gamma	143	0.003425	13.653	5
gamma	144	0.003470	13.832	4
gamma	145	0.003520	14.030	6
gamma	146	0.003590	14.308	8
gamma	147	0.003680	14.666	10
gamma	148	0.003770	15.023	8
gamma	149	0.003830	15.261	4
gamma	150	0.003880	15.460	6
gamma	151	0.003940	15.698	6
gamma	152	0.004005	15.956	7
gamma	153	0.004050	16.134	2
gamma	154	0.004115	16.392	11
gamma	155	0.004215	16.789	9
gamma	156	0.004320	17.205	12
gamma	157	0.004445	17.701	13
gamma	158	0.004575	18.216	13
gamma	159	0.004680	18.632	8
gamma	160	0.004735	18.850	3
gamma	161	0.004795	19.088	9
gamma	162	0.004875	19.405	7
gamma	163	0.004960	19.742	10
gamma	164	0.005065	20.157	11
gamma	165	0.005180	20.613	12
gamma	166	0.005290	21.048	10
gamma	167	0.005390	21.444	10
gamma	168	0.005520	21.958	16
gamma	169	0.005635	22.413	7
gamma	170	0.005770	22.947	20
gamma	171	0.005885	23.401	3
gamma	172	0.005980	23.777	16
gamma	173	0.006130	24.370	14
gamma	174	0.006225	24.745	5
gamma	175	0.006290	25.002	8
gamma	176	0.006410	25.476	16
gamma	177	0.006555	26.048	13
gamma	178	0.006730	26.739	22
gamma	179	0.006960	27.646	24
gamma	180	0.007195	28.573	23
gamma	181	0.007385	29.322	15
gamma	182	0.007570	30.051	22
gamma	183	0.007800	30.957	24
gamma	184	0.007975	31.646	11
gamma	185	0.008160	32.374	26
gamma	186	0.008385	33.259	19
gamma	187	0.008550	33.908	14
gamma	188	0.008680	34.419	12
gamma	189	0.008755	34.713	3
gamma	190	0.008890	35.244	24
gamma	191	0.009105	36.088	19
gamma	192	0.009295	36.834	19
gamma	193	0.009475	37.541	17
gamma	194	0.009640	38.188	16
gamma	195	0.009795	38.796	15
gamma	196	0.009985	39.541	23
gamma	197	0.010225	40.482	25
gamma	198	0.010480	41.481	26
gamma	199	0.010730	42.459	24
gamma	200	0.010975	43.418	25
gamma	201	0.011245	44.474	29
gamma	202	0.011465	45.334	15
gamma	203	0.011665	46.116	25
gamma	204	0.011945	47.209	31
gamma	205	0.012230	48.322	26
gamma	206	0.012475	49.277	23
gamma	207	0.012755	50.369	33
gamma	208	0.013015	51.382	19
gamma	209	0.013230	52.220	24
gamma	210	0.013580	53.582	46
gamma	211	0.013955	55.041	29
gamma	212	0.014305	56.401	41
gamma	213	0.014735	58.072	45
gamma	214	0.015150	59.682	38
gamma	215	0.015545	61.213	41
gamma	216	0.015935	62.724	37
gamma	217	0.016340	64.292	44
gamma	218	0.016715	65.742	31
gamma	219	0.017010	66.883	28
gamma	220	0.017350	68.196	40
gamma	221	0.017715	69.605	33
gamma	222	0.018065	70.955	37
gamma	223	0.018400	72.246	30
gamma	224	0.018750	73.594	40
gamma	225	0.019240	75.479	58
gamma	226	0.019845	77.805	63
gamma	227	0.020250	79.360	18
gamma	228	0.020400	79.935	12
gamma	229	0.020580	80.626	24
gamma	230	0.021030	82.351	66
gamma	231	0.021500	84.151	28
gamma	232	0.021840	85.452	40
gamma	233	0.022260	87.058	44
gamma	234	0.022670	88.624	38
gamma	235	0.023175	90.552	63
gamma	236	0.023755	92.763	53
gamma	237	0.024195	94.438	35
gamma	238	0.024610	96.017	48
gamma	239	0.024975	97.405	25
gamma	240	0.025345	98.811	49
gamma	241	0.025785	100.481	39
gamma	242	0.026135	101.808	31
gamma	243	0.026565	103.437	55
gamma	244	0.027015	105.141	35
gamma	245	0.027500	106.975	62
gamma	246	0.028160	109.468	70
gamma	247	0.028885	112.203	75
gamma	248	0.029745	115.441	97
gamma	249	0.030605	118.673	75
gamma	250	0.031385	121.600	81
gamma	251	0.032095	124.260	61
gamma	252	0.032695	126.504	59
gamma	253	0.033175	128.298	37
gamma	254	0.033520	129.586	32
gamma	255	0.033960	131.227	56
gamma	256	0.034805	134.374	113
gamma	257	0.035885	138.389	103
gamma	258	0.036740	141.561	68
gamma	259	0.037605	144.763	105
gamma	260	0.038590	148.403	92
gamma	261	0.039550	151.943	100
gamma	262	0.040645	155.972	119
gamma	263	0.041735	159.973	99
gamma	264	0.042600	163.141	74
gamma	265	0.043280	165.627	62
gamma	266	0.043955	168.092	73
gamma	267	0.044575	170.352	51
gamma	268	0.045235	172.755	81
gamma	269	0.045985	175.482	69
gamma	270	0.046975	179.073	129
gamma	271	0.048400	184.230	156
gamma	272	0.049830	189.388	130
gamma	273	0.051170	194.207	138
gamma	274	0.052480	198.903	124
gamma	275	0.053625	202.997	105
gamma	276	0.054920	207.615	154
gamma	277	0.056135	211.935	89
gamma	278	0.056810	214.330	46
gamma	279	0.057485	216.722	89
gamma	280	0.058585	220.611	131
gamma	281	0.059920	225.318	136
gamma	282	0.061330	230.275	146
gamma	283	0.062725	235.162	133
gamma	284	0.064000	239.616	122
gamma	285	0.065210	243.831	120
gamma	286	0.066420	248.034	122
gamma	287	0.067785	252.761	151
gamma	288	0.069460	258.541	184
gamma	289	0.071225	264.608	169
gamma	290	0.072760	269.864	138
gamma	291	0.074115	274.488	133
gamma	292	0.075755	280.065	195
gamma	293	0.077475	285.890	149
